block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3157;miniXyce.x;;1.51;0.14;0.07;0.14;0.2;1.0122879743576;2;
3139;miniXyce.x;;1.37;0.12;0.12;0.12;0.12;0.022758202627301;2;
3381;miniXyce.x;;1.26;0.11;0.11;0.11;0.12;0.055163145065308;2;
3363;miniXyce.x;;1.23;0.11;0.11;0.11;0.11;0.015168397687376;2;
3147;miniXyce.x;;1.07;0.1;0.04;0.09;0.15;0.85920310020447;2;
3133;miniXyce.x;;1.07;0.1;0.08;0.09;0.1;0.17170035839081;2;
3143;miniXyce.x;;0.48;0.04;0.01;0.04;0.07;0.44201195240021;2;
3666;miniXyce.x;;0.34;0.03;0.03;0.03;0.03;0.0041367975063622;2;
3349;miniXyce.x;;0.31;0.03;0.01;0.03;0.04;0.27375891804695;2;
3638;miniXyce.x;;0.28;0.03;0.05;0.05;0.05;0;1;
3145;miniXyce.x;;0.22;0.02;0;0.02;0.03;0.23514293134212;2;
3160;miniXyce.x;;0.22;0.02;0.02;0.02;0.02;0.0027578789740801;2;
3429;miniXyce.x;;0.2;0.02;0.03;0.03;0.03;0;1;
3155;miniXyce.x;;0.2;0.02;0.03;0.03;0.03;0;1;
3162;miniXyce.x;;0.2;0.02;0;0.02;0.03;0.19583754241467;2;
3411;miniXyce.x;;0.2;0.02;0.02;0.02;0.02;0.037236992269754;2;
3432;miniXyce.x;;0.2;0.02;0.02;0.02;0.02;0.037236992269754;2;
3137;miniXyce.x;;0.2;0.02;0.01;0.02;0.02;0.042063269764185;2;
3154;miniXyce.x;;0.2;0.02;0.01;0.02;0.02;0.042063269764185;2;
3132;miniXyce.x;;0.2;0.02;0;0.02;0.03;0.20066380500793;2;
1544;miniXyce.x;;0.17;0.02;0.01;0.01;0.02;0.0020683987531811;2;
3130;miniXyce.x;;0.17;0.02;0.01;0.01;0.02;0.0020683987531811;2;
3201;miniXyce.x;;0.17;0.02;0.01;0.01;0.02;0.081368677318096;2;
3387;miniXyce.x;;0.17;0.02;0;0.01;0.02;0.16066893935204;2;
1623;miniXyce.x;;0.17;0.02;0.03;0.03;0.03;0;1;
3170;miniXyce.x;;0.14;0.01;0;0.01;0.02;0.11722672730684;2;
1618;miniXyce.x;;0.14;0.01;0.01;0.01;0.01;0.037926468998194;2;
3435;miniXyce.x;;0.14;0.01;0.01;0.01;0.02;0.041373807936907;2;
3367;miniXyce.x;;0.14;0.01;0.01;0.01;0.02;0.041373807936907;2;
3149;miniXyce.x;;0.14;0.01;0.02;0.02;0.02;0;1;
3163;miniXyce.x;;0.11;0.01;0;0.01;0.01;0.077921338379383;2;
3336;miniXyce.x;;0.11;0.01;0.01;0.01;0.01;0.00137893948704;2;
3122;miniXyce.x;;0.11;0.01;0.01;0.01;0.01;0.00137893948704;2;
872;miniXyce.x;;0.11;0.01;0;0.01;0.02;0.080679208040237;2;
3806;miniXyce.x;;0.08;0.01;0.01;0.01;0.01;0;1;
3141;miniXyce.x;;0.08;0.01;0;0.01;0.01;0.038615930825472;2;
3161;miniXyce.x;;0.08;0.01;0;0.01;0.01;0.038615930825472;2;
3142;miniXyce.x;;0.08;0.01;0;0.01;0.01;0.038615930825472;2;
3140;miniXyce.x;;0.08;0.01;0;0.01;0.01;0.038615930825472;2;
3520;miniXyce.x;;0.08;0.01;0;0.01;0.01;0.040684338659048;2;
3135;miniXyce.x;;0.08;0.01;0;0.01;0.01;0.040684338659048;2;
3518;miniXyce.x;;0.08;0.01;0;0.01;0.01;0.040684338659048;2;
3151;miniXyce.x;;0.08;0.01;0.02;0.02;0.02;0;1;
1411;miniXyce.x;;0.06;0.01;0.01;0.01;0.01;0;1;
3803;miniXyce.x;;0.06;0.01;0.01;0.01;0.01;0;1;
3810;miniXyce.x;;0.06;0.01;0.01;0.01;0.01;0;1;
3643;miniXyce.x;;0.06;0.01;0.01;0.01;0.01;0;1;
3120;miniXyce.x;;0.06;0.01;0.01;0.01;0.01;0;1;
8;miniXyce.x;;0.06;0.01;0;0;0;0.00068946974352002;2;
1612;miniXyce.x;;0.06;0.01;0;0;0;0.00068946974352002;2;
3153;miniXyce.x;;0.06;0.01;0;0;0;0.00068946974352002;2;
3709;miniXyce.x;;0.06;0.01;0;0;0;0.00068946974352002;2;
3168;miniXyce.x;;0.06;0.01;0.01;0.01;0.01;0;1;
3333;miniXyce.x;;0.06;0.01;0.01;0.01;0.01;0;1;
1120;miniXyce.x;;0.06;0.01;0.01;0.01;0.01;0;1;
2736;miniXyce.x;;0.03;0;0;0;0;0;1;
3118;miniXyce.x;;0.03;0;0;0;0;0;1;
3150;miniXyce.x;;0.03;0;0;0;0;0;1;
3704;miniXyce.x;;0.03;0;0;0;0;0;1;
3316;miniXyce.x;;0.03;0;0;0;0;0;1;
3331;miniXyce.x;;0.03;0;0;0;0;0;1;
3169;miniXyce.x;;0.03;0;0;0;0;0;1;
3525;miniXyce.x;;0.03;0;0;0;0;0;1;
3156;miniXyce.x;;0.03;0;0;0;0;0;1;
2893;miniXyce.x;;0.03;0;0;0;0;0;1;
3340;miniXyce.x;;0.03;0;0;0;0;0;1;
3146;miniXyce.x;;0.03;0;0;0;0;0;1;
3148;miniXyce.x;;0.03;0;0;0;0;0;1;
2897;miniXyce.x;;0.03;0;0;0;0;0;1;
3124;miniXyce.x;;0.03;0;0;0;0;0;1;
3125;miniXyce.x;;0.03;0;0;0;0;0;1;
973;miniXyce.x;;0.03;0;0;0;0;0;1;
3822;miniXyce.x;;0.03;0;0;0;0;0;1;
3802;miniXyce.x;;0.03;0;0;0;0;0;1;
296;miniXyce.x;;0.03;0;0;0;0;0;1;
3636;miniXyce.x;;0.03;0;0;0;0;0;1;
1611;miniXyce.x;;0.03;0;0;0;0;0;1;
1606;miniXyce.x;;0.03;0;0;0;0;0;1;
1608;miniXyce.x;;0.03;0;0;0;0;0;1;
3343;miniXyce.x;;0.03;0;0;0;0;0;1;
1649;miniXyce.x;;0.03;0;0;0;0;0;1;
3368;miniXyce.x;;0.03;0;0;0;0;0;1;
3138;miniXyce.x;;0.03;0;0;0;0;0;1;
3642;miniXyce.x;;0.03;0;0;0;0;0;1;
3330;miniXyce.x;;0.03;0;0;0;0;0;1;
3165;miniXyce.x;;0.03;0;0;0;0;0;1;
3334;miniXyce.x;;0.03;0;0;0;0;0;1;
3117;miniXyce.x;;0.03;0;0;0;0;0;1;
3356;miniXyce.x;;0.03;0;0;0;0;0;1;
3202;miniXyce.x;;0.03;0;0;0;0;0;1;
3339;miniXyce.x;;0.03;0;0;0;0;0;1;
3437;miniXyce.x;;0.03;0;0;0;0;0;1;
3121;miniXyce.x;;0.03;0;0;0;0;0;1;
3260;miniXyce.x;;0.03;0;0;0;0;0;1;
2909;miniXyce.x;;0.03;0;0;0;0;0;1;
3295;miniXyce.x;;0.03;0;0;0;0;0;1;
3274;miniXyce.x;;0.03;0;0;0;0;0;1;
